2023-02-08 16:43:34 INFO  CustomerLogin:withdrawlAmount:207 - Smith James After Deposit Balance is: 5213
2023-02-08 16:43:34 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Smith James
2023-02-08 16:43:35 INFO  CustomerLogin:withdrawlAmount:207 - Smith James After Deposit Balance is: 3213
2023-02-08 16:43:35 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Smith James
2023-02-08 16:43:35 INFO  CustomerLogin:withdrawlAmount:207 - Smith James After Deposit Balance is: 0
2023-02-08 16:43:35 INFO  CustomerLogin:withdrawlAmount:210 - Withdrawl amount updated successfull to : Smith James
2023-02-08 16:43:38 INFO  CustomerLogin:transactionsHistory:275 - Mitchell Roy Before Balance: 0
2023-02-08 16:43:40 INFO  CustomerLogin:transactionsHistory:282 - Transancations balance matched with Account Balance
2023-02-08 16:43:40 INFO  CustomerLogin:transactionsHistory:275 - Richardson John Before Balance: 0
2023-02-08 16:43:41 INFO  CustomerLogin:transactionsHistory:282 - Transancations balance matched with Account Balance
2023-02-08 16:43:41 INFO  CustomerLogin:transactionsHistory:275 - Williams Roberta Before Balance: 0
2023-02-08 16:43:41 INFO  CustomerLogin:transactionsHistory:282 - Transancations balance matched with Account Balance
2023-02-08 16:43:42 INFO  CustomerLogin:transactionsHistory:275 - Smith James Before Balance: 0
2023-02-08 16:43:42 INFO  CustomerLogin:transactionsHistory:282 - Transancations balance matched with Account Balance
2023-02-08 16:43:43 INFO  CustomerLogin:deleteTransactions:333 - Transactions History was deleted Successfully ...Test case is Passed
2023-02-08 16:43:43 INFO  CustomerLogin:deleteTransactions:333 - Transactions History was deleted Successfully ...Test case is Passed
2023-02-08 16:43:44 INFO  CustomerLogin:deleteTransactions:333 - Transactions History was deleted Successfully ...Test case is Passed
2023-02-08 16:43:44 INFO  CustomerLogin:deleteTransactions:333 - Transactions History was deleted Successfully ...Test case is Passed
